"location","year","unemployment rate"
"Alaska",2018,12
"Rhode Island",2018,3
"Mississippi",2018,7
"Alabama",2018,3
"New Mexico",2018,4
"Kentucky",2018,1
"Ohio",2018,4
"Wyoming",2018,2
"Idaho",2018,2
"Pennsylvania",2018,4
"Alaska",2018,11
"Alabama",2018,6
"Kentucky",2018,3
"South Carolina",2018,5
"Arkansas",2018,2
"Idaho",2018,3
"Illinois",2018,4
"Indiana",2018,3
"Colorado",2018,6
"Connecticut",2018,4
"Missouri",2018,5
"Arizona",2018,7
"South Dakota",2018,17
"Virginia",2018,10
"Indiana",2018,5
"New York",2018,6
"Texas",2018,8
"Nebraska",2018,0
"Nebraska",2018,3
"Alabama",2018,8
"California",2018,3
"Maryland",2018,2
"North Dakota",2018,0
"Maine",2018,5
"Mississippi",2018,2
"Illinois",2018,3
"Nevada",2018,1
"North Carolina",2018,2
"Virginia",2018,4
"Illinois",2018,8
"Indiana",2018,4
"South Dakota",2018,3
"Georgia",2018,8
"Indiana",2018,1
"North Carolina",2018,4
"Massachusetts",2018,4
"Wyoming",2018,1
"Delaware",2018,3
"Georgia",2018,5
"California",2018,6
"Nevada",2018,8
"Alaska",2018,4
"Georgia",2018,2
"Alaska",2018,3
"North Dakota",2018,1
"South Dakota",2018,0
"West Virginia",2018,7
"Missouri",2018,3
"Vermont",2018,4
"Utah",2018,0
"Arkansas",2018,6
"California",2018,9
"Texas",2018,3
"Georgia",2018,3
"Florida",2018,5
"Texas",2018,2
"Colorado",2018,2
"Nevada",2018,4
"South Carolina",2018,3
"Virginia",2018,3
"Louisiana",2018,6
"Kentucky",2018,2
"Mississippi",2018,10
"Connecticut",2018,3
"North Dakota",2018,9
"California",2018,8
"Kansas",2018,5
"Virginia",2018,14
"New York",2018,3
"Maryland",2018,3
"North Dakota",2018,4
"Missouri",2018,6
"Kentucky",2018,5
"Texas",2018,4
"North Carolina",2018,6
"Arkansas",2018,1
"South Carolina",2018,6
"Mississippi",2018,6
"Idaho",2018,6
"Washington",2018,3
"Montana",2018,1
"Vermont",2018,2
"Delaware",2018,4
"Wisconsin",2018,3
"Oklahoma",2018,5
"Montana",2018,5
"Texas",2018,5
"Georgia",2018,6
"Illinois",2018,2
"Virginia",2018,8
"Texas",2018,9
"Nebraska",2018,4
"Nevada",2018,5
"North Carolina",2018,1
"Illinois",2018,5
"Nevada",2018,2
"North Carolina",2018,5
"Michigan",2018,4
"West Virginia",2018,6
"Iowa",2018,1
"New York",2018,2
"Virginia",2018,0
"Mississippi",2018,3
