original_original_location,original_original_year,original_original_population,original_original_unemployment_rate,original_original_mean_household_income,original_lat,original_lon,original_formatted,original_state,original_state_code,original_country,original_country_code,original_confidence,original_attribution,original_attribution_license,original_attribution_url,distance,formatted,lat,lon,name,housenumber,street,district,postcode,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
Alabama,2010,43643,9,52296,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,13859,13,42669,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,25833,10,45652,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,13932,11,44304,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,14972,13,46341,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,49948,8,56399,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,54428,7,50479,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,13228,13,40997,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,11539,11,48207,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,37765,9,48407,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,13906,9,47820,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,80406,8,50801,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,50251,8,53380,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,43820,15,41387,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,71109,9,47291,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,79303,8,63370,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,38319,10,43123,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,104430,10,50026,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,17241,7,41909,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,31704,8,46038,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,26790,8,43510,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,9045,22,36678,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,15760,14,41007,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,17302,11,48685,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,101547,7,56518,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,53227,7,45624,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,658466,9,65169,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,14564,10,47615,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,92709,9,52999,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,34339,9,48705,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,140247,8,55567,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,82782,8,61801,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,11299,15,43645,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,21452,14,41707,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,334811,8,74304,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,21027,11,44760,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,30776,8,45173,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,93019,6,50978,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,412992,10,55272,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,23068,11,42962,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,229363,8,61229,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,119490,9,57816,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,10591,15,35597,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,19746,14,38880,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,32899,9,44797,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,22913,11,51016,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,52947,12,42025,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,83593,7,58970,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,195085,6,87725,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,13763,17,35831,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,82291,12,47255,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,41616,10,55481,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,194656,6,58032,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,67023,12,50971,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,17581,10,48757,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,11670,22,34585,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
