Indicator,"Opioid-related and other drug poisoning deaths per 100,000 people, by drug type"
Source,"Centers for Disease Control and Prevention, National Center for Health Statistics via CDC WONDER Database.<br />
<br />
Suggested Citation:<br />
<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE].<br />
<br />"
39,Ohio,All opioids,2011,"Rate per 100,000",11.23318,0.62854991471999999
40,Oklahoma,All opioids,2011,"Rate per 100,000",13.00133,1.1780870766
41,Oregon,All opioids,2011,"Rate per 100,000",10.09456,1.0192125165600001
42,Pennsylvania,All opioids,2011,"Rate per 100,000",6.15476,0.44763196575999997
44,Rhode Island,All opioids,2011,"Rate per 100,000",13.276,2.2338095186399998
45,South Carolina,All opioids,2011,"Rate per 100,000",5.34502,0.68209223627999993
46,South Dakota,All opioids,2011,"Rate per 100,000",4.47706,1.5466860525199999
47,Tennessee,All opioids,2011,"Rate per 100,000",10.05445,0.79380259308000001
48,Texas,All opioids,2011,"Rate per 100,000",4.56856,0.26296410951999999
49,Utah,All opioids,2011,"Rate per 100,000",14.57733,1.4914500557599999
50,Vermont,All opioids,2011,"Rate per 100,000",9.06641,2.4760936622800003
51,Virginia,All opioids,2011,"Rate per 100,000",7.05636,0.58323092211999994
53,Washington,All opioids,2011,"Rate per 100,000",9.88423,0.74577457667999991
54,West Virginia,All opioids,2011,"Rate per 100,000",31.5044,2.6838036391600002
55,Wisconsin,All opioids,2011,"Rate per 100,000",8.33418,0.76433476140000001
56,Wyoming,All opioids,2011,"Rate per 100,000",7.47248,2.3066242830400001
US,United States,All opioids,2011,"Rate per 100,000",7.3153,9.6182978079999995E-2
